term,estimate,std.error,statistic,p.value,conf.low,conf.high,city,lag,pct,pct_low,pct_high,n_obs,city_key,city_order,panel_row,panel_col,significant_05,effect_direction
post7,0.1111415087575318,0.0571279047985447,1.9454854707075304,0.0517165767277829,-0.0008271271598488117,0.2231101446749125,Fort Worth,7,11.755303920769222,-0.0826785184471767,24.995824239837305,131496,fortworth,24,5,4,False,not_significant
post8,0.2907167641092615,0.0421867150007481,6.8911922652452455,5.53267003011541e-12,0.2080323220817394,0.3734012061367835,Fort Worth,8,33.738573466089235,23.12529655647142,45.26670418650427,131496,fortworth,24,5,4,True,significant_enhancement
post9,0.1124648419220636,0.0690587403591541,1.628538854563046,0.1034106775004039,-0.022887801999581,0.2478174858437083,Fort Worth,9,11.90329131747847,-2.26278631788478,28.1226068958,131496,fortworth,24,5,4,False,not_significant
post10,-0.1223289176698268,0.0602490725308656,-2.0303867351179155,0.0423172439381124,-0.240414929932265,-0.0042429054073886,Fort Worth,10,-11.514272456074137,-21.369846667230156,-0.4233917001053466,131496,fortworth,24,5,4,True,significant_suppression
post11,-0.0966549161182587,0.0471142141821103,-2.0515022439864725,0.0402180613289288,-0.1889970790751012,-0.0043127531614161,Fort Worth,11,-9.2130756873823,-17.221107539951685,-0.4303466596517813,131496,fortworth,24,5,4,True,significant_suppression
post12,-0.0883847359454641,0.0627739011262523,-1.4079853945623455,0.1591353948575226,-0.2114193213219971,0.0346498494310688,Fort Worth,12,-8.459138163582802,-19.056541746947964,3.5257149448276737,131496,fortworth,24,5,4,False,not_significant
post1,0.2527240951405559,0.0810220118509103,3.1192029100140943,0.0018134103243447,0.0939238699577942,0.4115243203233176,Fresno,1,28.75279925947329,9.847611570077785,50.911640956113736,65748,fresno,25,5,5,True,significant_enhancement
post2,0.2747805783226192,0.0461336156305892,5.956189961846911,2.581862101955507e-09,0.1843603532100503,0.3652008034351881,Fresno,2,31.624183118906004,20.2449051409604,44.08032973546512,65748,fresno,25,5,5,True,significant_enhancement
post3,0.262099391461131,0.0446866977526023,5.865266503069537,4.484118836123754e-09,0.1745150732780035,0.3496837096442585,Fresno,3,29.965571069021717,19.066868952992056,41.86187821874756,65748,fresno,25,5,5,True,significant_enhancement
post4,0.4386050995602816,0.0405413520435836,10.818709230238875,2.8070271101168783e-27,0.3591455096702985,0.5180646894502648,Fresno,4,55.05428564152424,43.21051715627136,67.8775551768236,65748,fresno,25,5,5,True,significant_enhancement
post5,0.4426285878949413,0.0452097970741417,9.7905457785854,1.2362675035091814e-22,0.3540190138812591,0.5312381619086235,Fresno,5,55.67940148088071,42.47822768633733,70.10371646958178,65748,fresno,25,5,5,True,significant_enhancement
post6,0.3489710120184718,0.0383700925378532,9.094870221493514,9.46994996854403e-20,0.2737670125608104,0.4241750114761332,Fresno,6,41.76080961490647,31.49084094041936,52.8329045502085,65748,fresno,25,5,5,True,significant_enhancement
post7,0.3192435301414908,0.0850248821465602,3.7547071172789175,0.00017354428909245782,0.1525978233444702,0.4858892369385114,Fresno,7,37.60864026199555,16.485640667083178,62.56199275990526,65748,fresno,25,5,5,True,significant_enhancement
post8,0.3322394604133702,0.043994400735678,7.55185784685402,4.290926920963629e-14,0.2460120194500188,0.4184669013767215,Fresno,8,39.408663710874,27.89149453036215,51.96300261420148,65748,fresno,25,5,5,True,significant_enhancement
post9,0.2257550214283571,0.0795007773060194,2.839658039560629,0.0045161918083384,0.0699363611656199,0.3815736816910944,Fresno,9,25.326860371554805,7.243993025542839,46.45875715248893,65748,fresno,25,5,5,True,significant_enhancement
post10,0.2371594812874257,0.0646863651036276,3.666297849747716,0.0002460872834548761,0.110376535393507,0.3639424271813444,Fresno,10,26.76432670355664,11.669846780366754,43.89913649842359,65748,fresno,25,5,5,True,significant_enhancement
post11,0.3337433357570544,0.0691012129656621,4.829775360425274,1.3668716933570478e-06,0.1983074470563244,0.4691792244577843,Fresno,11,39.618474688159445,21.93372178377111,59.86814959044986,65748,fresno,25,5,5,True,significant_enhancement
post12,0.1825617140411703,0.0394253572195308,4.630565882374081,3.6466772543141366e-06,0.1052894338132636,0.259833994269077,Fresno,12,20.02882233047312,11.103213409076872,29.671480670812667,65748,fresno,25,5,5,True,significant_enhancement
post1,-0.2014060331275572,1e-06,-201406.0331275572,0.0,-0.2014079930915417,-0.2014040731635726,Gilbert,1,-18.24196005762085,-18.242120300277552,-18.241799814650093,5479,gilbert,26,6,1,True,significant_suppression
post2,0.2407024673327827,1e-06,240702.46733278272,0.0,0.2407005073687982,0.2407044272967672,Gilbert,2,27.214247505031807,27.21399816993273,27.214496840619585,5479,gilbert,26,6,1,True,significant_enhancement
post3,0.1581219797341703,1e-06,158121.97973417034,0.0,0.1581200197701858,0.1581239396981548,Gilbert,3,17.1309061962047,17.130676624072038,17.13113576878729,5479,gilbert,26,6,1,True,significant_enhancement
post4,-0.0374288740286977,1e-06,-37428.87402869778,0.0,-0.0374308339926823,-0.0374269140647132,Gilbert,4,-3.673707170425322,-3.6738959663050186,-3.6735183741756,5479,gilbert,26,6,1,True,significant_suppression
post5,0.1106081399239419,1e-06,110608.13992394193,0.0,0.1106061799599573,0.1106100998879264,Gilbert,5,11.69571301804735,11.695494098687153,11.695931937836646,5479,gilbert,26,6,1,True,significant_enhancement
post6,-0.0409417581962272,1e-06,-40941.75819622724,0.0,-0.0409437181602117,-0.0409397982322427,Gilbert,6,-4.01149662444058,-4.011684758265755,-4.011308490246668,5479,gilbert,26,6,1,True,significant_suppression
post7,0.1261123264711492,1e-06,126112.3264711492,0.0,0.1261103665071646,0.1261142864351337,Gilbert,7,13.440958535229663,13.440736195254456,13.441180875640658,5479,gilbert,26,6,1,True,significant_enhancement
post8,0.0298676442472131,1e-06,29867.64424721313,0.0,0.0298656842832285,0.0298696042111976,Gilbert,8,3.0318156393339235,3.031613700883895,3.0320175781797243,5479,gilbert,26,6,1,True,significant_enhancement
post9,-0.0497073365159874,1e-06,-49707.33651598746,0.0,-0.049709296479972,-0.0497053765520029,Gilbert,9,-4.849214464053109,-4.849400955983107,-4.849027971757602,5479,gilbert,26,6,1,True,significant_suppression
post10,-0.0080346401871667,1e-06,-8034.640187166729,0.0,-0.0080366001511512,-0.0080326802231821,Gilbert,10,-0.8002448738960943,-0.8004393016528777,-0.8000504457582269,5479,gilbert,26,6,1,True,significant_suppression
post11,-0.3932969858884809,1e-06,-393296.98588848097,0.0,-0.3932989458524655,-0.3932950259244964,Gilbert,11,-32.51716966601893,-32.517301929806344,-32.51703740197228,5479,gilbert,26,6,1,True,significant_suppression
post12,0.1347703892030317,1e-06,134770.38920303172,0.0,0.1347684292390472,0.1347723491670162,Gilbert,12,14.427401651642048,14.427177378275749,14.427625925447906,5479,gilbert,26,6,1,True,significant_enhancement
post1,0.1348604249179433,0.1358195157691152,0.992938490129782,0.3207399309327065,-0.1313409343871923,0.401061784223079,Henderson,1,14.437704668368024,-12.308124833684095,49.340953479747625,21916,henderson,27,6,2,False,not_significant
