"model_id","city","activity_type","row_exposure","col_exposure","covariance"
"Raleigh__all","Raleigh","all",2,2,0.00630480142937815
"Raleigh__all","Raleigh","all",4,2,0.00988234940001947
"Raleigh__all","Raleigh","all",6,2,0.00818028276921596
"Raleigh__all","Raleigh","all",2,4,0.00988234940001947
"Raleigh__all","Raleigh","all",4,4,0.0156745611577198
"Raleigh__all","Raleigh","all",6,4,0.0135425077593561
"Raleigh__all","Raleigh","all",2,6,0.00818028276921596
"Raleigh__all","Raleigh","all",4,6,0.0135425077593562
"Raleigh__all","Raleigh","all",6,6,0.0134252026502305
"Richmond__all","Richmond","all",2,2,0.0171621843257538
"Richmond__all","Richmond","all",4,2,0.0282467183064243
"Richmond__all","Richmond","all",6,2,0.0271759571202772
"Richmond__all","Richmond","all",2,4,0.0282467183064243
"Richmond__all","Richmond","all",4,4,0.0468514579333022
"Richmond__all","Richmond","all",6,4,0.0461722357824077
"Richmond__all","Richmond","all",2,6,0.0271759571202772
"Richmond__all","Richmond","all",4,6,0.0461722357824077
"Richmond__all","Richmond","all",6,6,0.0488091586329146
"Riverside__all","Riverside","all",2,2,0.153162325410956
"Riverside__all","Riverside","all",4,2,0.269109461955664
"Riverside__all","Riverside","all",6,2,0.310626283773037
"Riverside__all","Riverside","all",2,4,0.269109461955664
"Riverside__all","Riverside","all",4,4,0.473178547128165
"Riverside__all","Riverside","all",6,4,0.547166828330248
"Riverside__all","Riverside","all",2,6,0.310626283773037
"Riverside__all","Riverside","all",4,6,0.547166828330248
"Riverside__all","Riverside","all",6,6,0.635535907056874
"Sacramento__all","Sacramento","all",2,2,0.12568122584997
"Sacramento__all","Sacramento","all",4,2,0.24253497158431
"Sacramento__all","Sacramento","all",6,2,0.341733833239709
"Sacramento__all","Sacramento","all",2,4,0.24253497158431
"Sacramento__all","Sacramento","all",4,4,0.468045249953667
"Sacramento__all","Sacramento","all",6,4,0.659506080971263
"Sacramento__all","Sacramento","all",2,6,0.341733833239709
"Sacramento__all","Sacramento","all",4,6,0.659506080971263
"Sacramento__all","Sacramento","all",6,6,0.929355172916973
"San_Antonio__all","San_Antonio","all",2,2,0.000867355230576634
"San_Antonio__all","San_Antonio","all",4,2,0.00155679042058515
"San_Antonio__all","San_Antonio","all",6,2,0.00192971884230749
"San_Antonio__all","San_Antonio","all",2,4,0.00155679042058515
"San_Antonio__all","San_Antonio","all",4,4,0.00280433754546407
"San_Antonio__all","San_Antonio","all",6,4,0.00350150341393621
"San_Antonio__all","San_Antonio","all",2,6,0.00192971884230749
"San_Antonio__all","San_Antonio","all",4,6,0.00350150341393621
"San_Antonio__all","San_Antonio","all",6,6,0.00443557675234216
"San_Bernardino__all","San_Bernardino","all",2,2,0.456766841272419
