"model_id","city","activity_type","exposure","log_rr"
"Visalia__ride","Visalia","ride",6,-0.599245212660934
"Washington__ride","Washington","ride",2,0.0374675648045767
"Washington__ride","Washington","ride",4,0.049827637428439
"Washington__ride","Washington","ride",6,0.0119727256908725
"Abilene__run","Abilene","run",2,-0.440123876151532
"Abilene__run","Abilene","run",4,-0.872692660654516
"Abilene__run","Abilene","run",6,-1.29015126186041
"Amarillo__run","Amarillo","run",2,-2.34099469455839
"Amarillo__run","Amarillo","run",4,-3.41913199577931
"Amarillo__run","Amarillo","run",6,-1.97155451032523
"Arlington__run","Arlington","run",2,-0.0275168839727402
"Arlington__run","Arlington","run",4,-0.0518745308458274
"Arlington__run","Arlington","run",6,-0.0699137035196086
"Atlanta__run","Atlanta","run",2,-1.55316792894973
"Atlanta__run","Atlanta","run",4,-0.0612691708811326
"Atlanta__run","Atlanta","run",6,1.23382916553055
"Austin__run","Austin","run",2,0.00839395984843305
"Austin__run","Austin","run",4,0.0176067244978028
"Austin__run","Austin","run",6,0.0284570987490458
"Bakersfield__run","Bakersfield","run",2,-0.133840107030939
"Bakersfield__run","Bakersfield","run",4,-0.236042136090664
"Bakersfield__run","Bakersfield","run",6,-0.274968009207962
"Baltimore__run","Baltimore","run",2,0.210627942264467
"Baltimore__run","Baltimore","run",4,0.310362216008333
"Baltimore__run","Baltimore","run",6,0.188309152710996
"Boston__run","Boston","run",2,-2.00104707231419
"Boston__run","Boston","run",4,-3.46187373487148
"Boston__run","Boston","run",6,-3.84225957791498
"Cape_Coral__run","Cape_Coral","run",2,-3.46157204965328
"Cape_Coral__run","Cape_Coral","run",4,-2.25916932056705
"Cape_Coral__run","Cape_Coral","run",6,2.38008734102963
"Chandler__run","Chandler","run",2,0.153915288091913
"Chandler__run","Chandler","run",4,0.331147697788937
"Chandler__run","Chandler","run",6,0.55260110581838
"Charleston__run","Charleston","run",2,-0.190962336420846
"Charleston__run","Charleston","run",4,-0.199252407617301
"Charleston__run","Charleston","run",6,0.035832478680272
"Charlotte__run","Charlotte","run",2,0.134727917184315
"Charlotte__run","Charlotte","run",4,0.122397531455785
"Charlotte__run","Charlotte","run",6,-0.183952211327917
"Chicago__run","Chicago","run",2,-23.4806053027369
"Chicago__run","Chicago","run",4,-46.6029042970658
"Chicago__run","Chicago","run",6,-69.0085906745844
"Cincinnati__run","Cincinnati","run",2,-129.234405856106
"Cincinnati__run","Cincinnati","run",4,-174.931273961101
"Cincinnati__run","Cincinnati","run",6,-53.5530665638798
"Clearwater__run","Clearwater","run",2,-0.33788039987413
"Clearwater__run","Clearwater","run",4,3.32040421765761
"Clearwater__run","Clearwater","run",6,7.99082304876049
"Cleveland__run","Cleveland","run",2,-485.293088765931
"Cleveland__run","Cleveland","run",4,-742.971096782829
"Cleveland__run","Cleveland","run",6,-545.418943302473
"Columbia__run","Columbia","run",2,-0.0783564554320826
"Columbia__run","Columbia","run",4,-0.0319978989772167
"Columbia__run","Columbia","run",6,0.258773646669599
"Columbus__run","Columbus","run",2,-6.13417789018604
"Columbus__run","Columbus","run",4,-5.59655178149478
"Columbus__run","Columbus","run",6,8.28468232493469
"Corpus_Christi__run","Corpus_Christi","run",2,-1132.85119653317
"Corpus_Christi__run","Corpus_Christi","run",4,-1406.92223051491
"Corpus_Christi__run","Corpus_Christi","run",6,-935.671774338346
"Dallas__run","Dallas","run",2,-0.0243977162629186
"Dallas__run","Dallas","run",4,-0.0482626740361529
"Dallas__run","Dallas","run",6,-0.0710621148300185
"Detroit__run","Detroit","run",2,-4.21867857598431
"Detroit__run","Detroit","run",4,-5.95091984007718
"Detroit__run","Detroit","run",6,-2.71028648038873
"Fort_Worth__run","Fort_Worth","run",2,-0.0873549237554356
"Fort_Worth__run","Fort_Worth","run",4,-0.168841469089245
"Fort_Worth__run","Fort_Worth","run",6,-0.238591257579801
"Fresno__run","Fresno","run",2,-0.10790882430024
"Fresno__run","Fresno","run",4,-0.204144212497007
"Fresno__run","Fresno","run",6,-0.277032728486829
"Gilbert__run","Gilbert","run",2,0.499814189564802
"Gilbert__run","Gilbert","run",4,0.85643159577053
"Gilbert__run","Gilbert","run",6,0.933583141714408
"Henderson__run","Henderson","run",2,-0.163471208793924
"Henderson__run","Henderson","run",4,-0.301430756331861
"Henderson__run","Henderson","run",6,-0.388366981357823
"Houston__run","Houston","run",2,0.0924778002990186
"Houston__run","Houston","run",4,0.172861007350971
"Houston__run","Houston","run",6,0.229155473684077
"Indianapolis__run","Indianapolis","run",2,-1.80850951504544
"Indianapolis__run","Indianapolis","run",4,-1.81475522806431
"Indianapolis__run","Indianapolis","run",6,1.78352666295541
"Jacksonville__run","Jacksonville","run",2,0.428770319410541
"Jacksonville__run","Jacksonville","run",4,0.747376605071564
"Jacksonville__run","Jacksonville","run",6,0.904986524708152
"Kansas_City__run","Kansas_City","run",2,-0.0866078954753355
"Kansas_City__run","Kansas_City","run",4,-0.158991164755875
"Kansas_City__run","Kansas_City","run",6,-0.2029418140878
"Las_Vegas__run","Las_Vegas","run",2,-0.0222013278077437
"Las_Vegas__run","Las_Vegas","run",4,-0.0599304346810574
"Las_Vegas__run","Las_Vegas","run",6,-0.128646873112482
"Los_Angeles__run","Los_Angeles","run",2,-1.3655806528389
"Los_Angeles__run","Los_Angeles","run",4,-2.29502250261951
"Los_Angeles__run","Los_Angeles","run",6,-2.35218674628351
"Louisville__run","Louisville","run",2,-6.23508248883672
"Louisville__run","Louisville","run",4,-9.0219391614969
"Louisville__run","Louisville","run",6,-4.91234420180308
"Lubbock__run","Lubbock","run",2,-0.427921400513378
"Lubbock__run","Lubbock","run",4,-0.814304116741829
"Lubbock__run","Lubbock","run",6,-1.11760946440043
"Mesa__run","Mesa","run",2,0.360408036249988
"Mesa__run","Mesa","run",4,0.5559831848285
"Mesa__run","Mesa","run",6,0.431120346737277
"Miami__run","Miami","run",2,-431.684882507714
"Miami__run","Miami","run",4,113.280955613031
"Miami__run","Miami","run",6,-456.777967402792
"Milwaukee__run","Milwaukee","run",2,-4.03874941662611
"Milwaukee__run","Milwaukee","run",4,-7.50465419321075
